[2025-03-27T12:21:24.127+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-27T12:21:24.147+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:21:04.555608+00:00 [queued]>
[2025-03-27T12:21:24.154+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:21:04.555608+00:00 [queued]>
[2025-03-27T12:21:24.155+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-27T12:21:24.167+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): add_launches_to_table> on 2025-03-27 12:21:04.555608+00:00
[2025-03-27T12:21:24.174+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=624) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-27T12:21:24.176+0000] {standard_task_runner.py:72} INFO - Started process 626 to run task
[2025-03-27T12:21:24.176+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'my_dag', 'add_launches_to_table', 'manual__2025-03-27T12:21:04.555608+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmp4j90yal0']
[2025-03-27T12:21:24.177+0000] {standard_task_runner.py:105} INFO - Job 72: Subtask add_launches_to_table
[2025-03-27T12:21:24.449+0000] {task_command.py:467} INFO - Running <TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:21:04.555608+00:00 [running]> on host 2753c0b03e32
[2025-03-27T12:21:24.524+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_dag' AIRFLOW_CTX_TASK_ID='add_launches_to_table' AIRFLOW_CTX_EXECUTION_DATE='2025-03-27T12:21:04.555608+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-27T12:21:04.555608+00:00'
[2025-03-27T12:21:24.526+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-27T12:21:24.526+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-27T12:21:24.527+0000] {logging_mixin.py:190} INFO - Current task name:add_launches_to_table state:running start_date:2025-03-27 12:21:24.147593+00:00
[2025-03-27T12:21:24.527+0000] {logging_mixin.py:190} INFO - Dag name:my_dag and current dag run status:running
[2025-03-27T12:21:24.527+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-27T12:21:24.539+0000] {base.py:84} INFO - Retrieving connection 'postgres_db'
[2025-03-27T12:21:27.444+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.444+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.444+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.445+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.445+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.446+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.446+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.446+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.447+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.447+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.447+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.448+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.448+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.448+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.449+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.449+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.449+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.450+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.450+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.450+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.451+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.451+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.451+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.452+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.452+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.453+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.453+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.453+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.454+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.454+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.454+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.455+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.455+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.456+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.456+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.456+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.457+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.457+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.458+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.458+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.458+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.459+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.459+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.459+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.460+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.460+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.461+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.461+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.461+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.462+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.462+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.463+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.463+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.463+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.464+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.464+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.464+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.465+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.465+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.466+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.466+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.466+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.467+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.467+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.467+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.468+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.468+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.468+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.469+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.469+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.470+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.470+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.471+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.471+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.471+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.472+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.472+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.472+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.473+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.473+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.473+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.474+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.474+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.474+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.475+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.475+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:21:27.475+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
