[2025-03-27T12:23:25.447+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-27T12:23:25.466+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:25.474+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:25.474+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-27T12:23:25.486+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): add_launches_to_table> on 2025-03-27 12:23:03.217034+00:00
[2025-03-27T12:23:25.493+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=688) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-27T12:23:25.494+0000] {standard_task_runner.py:72} INFO - Started process 690 to run task
[2025-03-27T12:23:25.495+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'my_dag', 'add_launches_to_table', 'manual__2025-03-27T12:23:03.217034+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpo02wlob5']
[2025-03-27T12:23:25.496+0000] {standard_task_runner.py:105} INFO - Job 81: Subtask add_launches_to_table
[2025-03-27T12:23:25.729+0000] {task_command.py:467} INFO - Running <TaskInstance: my_dag.add_launches_to_table manual__2025-03-27T12:23:03.217034+00:00 [running]> on host 2753c0b03e32
[2025-03-27T12:23:25.790+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_dag' AIRFLOW_CTX_TASK_ID='add_launches_to_table' AIRFLOW_CTX_EXECUTION_DATE='2025-03-27T12:23:03.217034+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-27T12:23:03.217034+00:00'
[2025-03-27T12:23:25.793+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-27T12:23:25.793+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-27T12:23:25.793+0000] {logging_mixin.py:190} INFO - Current task name:add_launches_to_table state:running start_date:2025-03-27 12:23:25.466919+00:00
[2025-03-27T12:23:25.793+0000] {logging_mixin.py:190} INFO - Dag name:my_dag and current dag run status:running
[2025-03-27T12:23:25.794+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-27T12:23:25.801+0000] {base.py:84} INFO - Retrieving connection 'postgres_db'
[2025-03-27T12:23:30.864+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.865+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.866+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.866+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.867+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.867+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.868+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.868+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.868+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.869+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.869+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.870+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.870+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.871+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.871+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.871+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.872+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.872+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.873+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.873+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.873+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.874+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.874+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.874+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.875+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.875+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.875+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.876+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.876+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.876+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.877+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.877+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.877+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.878+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:30.878+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
