[2025-03-27T12:23:42.625+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-27T12:23:42.649+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:42.662+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [queued]>
[2025-03-27T12:23:42.663+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-27T12:23:42.682+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): add_payloads_to_table> on 2025-03-27 12:23:03.217034+00:00
[2025-03-27T12:23:42.691+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=696) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-27T12:23:42.693+0000] {standard_task_runner.py:72} INFO - Started process 698 to run task
[2025-03-27T12:23:42.693+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'my_dag', 'add_payloads_to_table', 'manual__2025-03-27T12:23:03.217034+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpk3y4k39d']
[2025-03-27T12:23:42.694+0000] {standard_task_runner.py:105} INFO - Job 83: Subtask add_payloads_to_table
[2025-03-27T12:23:42.953+0000] {task_command.py:467} INFO - Running <TaskInstance: my_dag.add_payloads_to_table manual__2025-03-27T12:23:03.217034+00:00 [running]> on host 2753c0b03e32
[2025-03-27T12:23:43.037+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_dag' AIRFLOW_CTX_TASK_ID='add_payloads_to_table' AIRFLOW_CTX_EXECUTION_DATE='2025-03-27T12:23:03.217034+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-27T12:23:03.217034+00:00'
[2025-03-27T12:23:43.038+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-27T12:23:43.039+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-27T12:23:43.039+0000] {logging_mixin.py:190} INFO - Current task name:add_payloads_to_table state:running start_date:2025-03-27 12:23:42.650158+00:00
[2025-03-27T12:23:43.040+0000] {logging_mixin.py:190} INFO - Dag name:my_dag and current dag run status:running
[2025-03-27T12:23:43.040+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-27T12:23:43.050+0000] {base.py:84} INFO - Retrieving connection 'postgres_db'
[2025-03-27T12:23:44.856+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.857+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.860+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.861+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.861+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.862+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.863+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.863+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.864+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.864+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.865+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.865+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.866+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.866+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.867+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.868+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.868+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.869+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.869+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.870+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.870+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.871+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.871+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.872+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
[2025-03-27T12:23:44.873+0000] {main_dag.py:27} INFO - >>>>>>>> уже в  таблице
